Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",0402,2,2.2uF,
"C10, C12, C13, C14, C15, C16, C17, C18, C24, C25",0603,10,22uF,
"C19, C20, C21, C36, C37, C38, C39, C4, C40, C41, C42, C49, C5, C52, C54, C55, C6, C9",0402,18,100nF,
"C2, C3",0402,2,18pF,
"C22, C23, C26, C27, C28, C29, C30, C31, C47, C48, C53",0402,11,10uF,
"C32, C33",0402,2,20pF,
"C34, C35",0402,2,12pf,
"C43, C44, C45, C46",0402,4,1uF,
"C7, C8",0805,2,47uF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
CN1,CONN-SMD_8P-P1.00_1.0-8P-WT,1,1.0-8P WT,C5340778
CN2,CONN-SMD_6P-P1.00_SHOU-HAN_1.0-6P-WT,1,1.0-6P WT,C2906272
CN3,CONN-SMD_5P-P1.00_SHOU-HAN_1.0-5P-WT,1,1.0-5P WT,C2906271
CN4,CONN-SMD_4P-P1.00_SHOU-HAN_1.0-4P-WT,1,1.0-4P WT,C2906270
"D1, D2, D3",SOD-123_L2.8-W1.8-LS3.7-RD-1,3,1N4148W,C917030
"D4, D5, D6",LED0603-RD_RED,3,LED,
"J1, J5, J6, J7",1x4 1.5x2 mm,4,Conn_01x04_Pin,
J2,1x8 1.5x2 mm,1,Conn_01x08_Pin,
J3,1x6 1.5x2 mm,1,Conn_01x06_Pin,
J4,1x5 1.5x2 mm,1,Conn_01x05_Pin,
J8,1x3 1.5x2 mm,1,Conn_01x03_Pin,
"L1, L3, L4",L2520,3,1uH,C435392
L2,IND-SMD_L7.0-W6.6_FXL0630,1,5.6uH,C475914
Q1,SOT-23,1,MMBT2222A,
R1,0402,1,33,
"R10, R11, R15, R17, R19, R2, R20, R21, R22, R23, R4, R6",0402,12,10k,
"R12, R13, R26, R27, R28",0402,5,5.1k,
"R14, R16, R25",0402,3,1k,
"R18, R24",0402,2,1.5k,
R3,0402,1,75,
R5,0402,1,402,
R7,0402,1,39,
R8,0402,1,100k,
R9,0402,1,22k,
"SW1_BOOT1, SW1_RST1",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U2,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,1,AT7456E,C82351
U3,SOT-23-6,1,LMR51430,
"U4, U5",VQFN-15_L3.0-W2.5-P0.50-BL,2,TPS63070RNMR,C109322
U6,BUZ-SMD_L9.6-W9.6-LS10.0-R,1,KLJ-9650-5Y,C18186314
U8,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U9,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,27Mhz,C18214311
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X3,CHIP_NX3215S_NDK,1,Q13FC1350000200,C48615
